Publication_ID,Publication,Authors,Year_of_Publication,Bibliographic_Reference,Excavation,Survey,Catalogue,Years_of_Activity
13,Michelini & Mazzocchin 1998,Michelini & Mazzocchin,1998,"Michelini, P. and Mazzocchin, S. (1998) 'Este: la temporanea bonifica od uso funerario di un spazio lungo il fiume', in Pesavento Mattioli, S. (ed.) Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici. Atti del seminario di studi di Padova 19–20 ottobre 1995. Modena, pp. 223–35.",1,0,0,1992
14,Tempesta 2013,Tempesta,2013,"Tempesta, C. (2013) 'Le Anfore', in Guarnieri, C. (ed.) Vivere a Forum Livi. Lo scavo di via Curte a Forlì. Bologna, pp. 111-24.",1,0,0,2003-2004
15,Buchi 1973,Buchi,1973,"Buchi, E. (1973) 'Banchi di anfore romane a Verona. Nota sui commerce cisalpine', in Accademia di agricoltura, s.e.l.d.V. (ed.) Il territorio veronese in età romana. Atti del convegno 1971 Verona, pp. 531-637.",1,0,1,1967
16,Pavoni 2008,Pavoni,2008,"Pavoni, M. G. (2008) 'Le anfore italiche egee e ispaniche di età tardo repubblicana e di prima età imperiale', in Cavalieri Manasse, G. (ed.) L'area del Capitolium di Verona: ricerche storiche e archeologiche. Verona, pp. 369-71.",1,0,0,1975-2004
17,Bruno 2008,Bruno,2008,"Bruno, B. (2008) 'Le anfore di media e tarda età imperiale di produzione italica, egeo-orientale, ispanica e le anfore non identificate', in Cavalieri Manasse, G. (ed.) L'area del Capitolium di Verona: ricerche storiche e archeologiche. Verona, pp. 373-86.",1,0,0,1975-2004
18,Biondani 2008,Biondani,2008,"Biondani, F. (2008) 'Le Anfore Africane', in Cavalieri Manasse, G. (ed.) L'Area del Capitolium di Verona. Ricerche Storiche e Archeologiche. Verona, pp. 387-404.",1,0,0,1975-2004
19,Pesavento Mattioli 1998,Pesavento Mattioli,1998,"Pesavento Mattioli, S. (1998) I commerci di Verona e il ruolo della via Postumia, un aggiornamento sui dati delle anfore, in G. Sena Chiesa and E. Arslan (eds). Optima Via, Atti del Convegno internazionale di Studi Postumia. Storia e archeologia di una grande strada romana alle radici dell'Europa, Cremona, pp. 311-327.",1,0,0,1960-1995
20,Maurina 1995,Mauria,1995,"Maurina, B. (1995) 'Trento – Palazzo Tabarelli. Le anfore', in Cavada, E. (ed.) Materiali per la storia urbana di Tridentum: Vol. 3 ArcheoAlp - Archeologia delle Alpi. Trento, pp. 209-70.",1,0,0,1979-82
21,Tempesta 2018,Tempesta,2018,"Tempesta, C. (2018) 'Anfore da Trasporto', in Guarnieri, C. and Montevecchi, G. (eds.) Il genio delle acque: scavi nelle piazze di Ravenna. Ravenna, pp. 131-44.",1,0,0,2008-2009
22,Bruno & Bocchio 1991,Bruno & Bocchio,1991,"Bruno, B. and Bocchio, S. (1991) 'Anfore', in Caporusso, D. (ed.) Scavi MM3. Ricerche di archeologia urbana a Milano durante la costruzione della linea 3 della Metropolitana, 1982- 1990. Milan, pp. 259-97.",1,0,0,1982-1990
23,Bruno 1998,Bruno,1998,"Bruno, B. (1998) 'Importazione di merci e itinerari commerciali nella Liguria Transappenninica. Alcune considerazioni sulla presenza di anfore tra la fine del II sec. A.C. e il II sec. D.C.', in Sena Chiesa, G. (ed.) Optima via. Atti delConvegno internazionale di studi Postumia. Storia earcheologia di una grande strada romana alle radicidell’Europa. Venezia, pp. 329-43.",1,0,0,Not_Available
24,Bruno 1997,Bruno,1997,"Bruno, B. (1997) 'Contenitori da trasporto: i consumi di olio, vino e di altre derrate', in Filippi, F. (ed.) Alba Pompeia. Archeologia della città dalla fondazione alla tarda antichità. Alba, pp. 516-32.",1,0,1,1950-1997
25,Biondani 2005,Biondani,2005,"Biondani, F. (2005) 'Anfore', in Mazzeo Saracino, L. (ed.) Il complesso edilizio di età romana nell'area dell'ex Vescovado a Rimini. Florence, pp. 263-282.",1,0,0,1962
26,Quiri 2014,Quiri,2014,"Quiri, E. (2014) 'Le Anfore', in Preacco, M.C. (ed.) Augusta Bagiennorum: storia e archeologia di una città augustea. Turin, pp. 201-11.",1,0,0,2004-2006
27,Mongardi 2014,Mongardi,2014,"Mongardi, M. (2014) L’instrumentum fittile inscriptum della colonia romana di Mutina e del suo territorio. PhD, Bologna.",1,0,1,2009-2010
28,Covizzi 1996,Covizzi,1996,"Covizzi, C. (1996) 'Impianti produttivi', in Ambrosetti, G., Macellari, R. and Malnati, L. (eds.) Lepidoregio. Testimonianze di età romana a Reggio Emilia. Reggio Emilia, pp. 187-215.",1,0,0,Not_Available
29,Francesconi 2020,Francesconi,2020,"Francesconi, A. (2020) 'Il potenziale delle risorse invisibili, un caso studio: le anfore e i commerci a Laus Pompeia (LO) tra I sec. a.C. e I d.C.', West & East. Rivista della Scuola di Specializzazione in Beni Archeologici, 5, pp. 16-36.",1,0,0,1988-2000
30,Bocchio 2004,Bocchio,2004,"Bocchio, S. (2004) 'Anfore', in Mariotti, V. (ed.) Il teatro e l'anfiteatro di Cividate Camuno: scavo, restauro, e allestimento di un parco archeologico. Florence, pp. 255-65.",1,0,0,1984-2000
31,"Spagnolo Garzoli, Deodato, Quiri, & Ratto 2007","Spagnolo Garzoli, Deodato, Quiri, & Ratto",2007,"Spagnolo Garzoli, G., Deodato, A., Quiri, E. and Ratto, S. (2007) 'Genesi dei centri urbani di Vercellae e Novaria', in Brecciaroli Taborelli, L. (ed.) Forme e tempi dell’urbanizzazione nella Cisalpina (II secolo a.C. – I secolo d.C.). Atti delle Giornate di Studio Torino. 4-6 maggio 2006. Borgo S. Lorenzo, pp. 109-26.",1,0,0,1970
32,Brecciaroli Taboreli 1987b,Brecciaroli Taborelli,1987,"Brecciaroli Taborelli, L. (1987) 'Per una ricerca sul commercio della Transpadana occidentale in età romana: ricognizione sulle anfore di “Vercellae”', in Cresci, G. (ed.) Atti del Convegno di Studi nel centenario della morte di L. Bruzza, 1883-1983, Vercelli. 1984. Vercelli, pp. 129-208.",0,0,1,Not_Available
33,Facchini 1996,Facchini,1996,"Facchini, G. M. (1996) ‘Le Anfore’ in G. Panto (ed) Il Monastero della Visitazione a Vercelli. Archeologia e Storia. Vercelli, pp. 195-200.",1,0,1,1980-1995
34,Bruno 2005,Bruno,2005,"Bruno, B. (2005) 'Le anfore da trasporto', in Nobile De Agostini, I. (ed.) Indagini archeologiche a Como. Lo scavo nei pressi della Porta Pretoria. Como, pp. 129-42.",1,0,1,Not_Available
35,Vecchi 1999,Vecchi,1999,"Vecchi, L. (1999) ‘Le anfore di Clastidium nell’ambito dei commerci padani’, in Multas per gentes, et multa per aequora. Culture adriatiche in provincia di Pavia: Lomellina, Pavese, Oltrepo, Atti della giornata di studi (Gambolo, 18 maggio 1997), pp.205-218.",1,0,1,1995
36,Secchi 2017,Secchi,2017,"Secchi, L. (2017) 'Le anfore da trasporto', in Venturino Gambari, M. and Bacchetta, A. (eds.) La città ritrovata. Il Foro di Aquae Statiellae e il suo quartiere. Acqui Terme, pp. 107-23.",1,0,1,1997-2005
37,Brecciaroli Taboreli 1987a,Brecciaroli Taborelli,1987,"Brecciaroli Taborelli, L. (1987) 'Un contributo alla conoscenza dell’impianto urbano di Eporedia (Ivrea): lo scavo di un isolato a Porta Vercelli', Quaderni della Soprintendenza Archeologica del Piemonte, 6, pp. 97-157.",1,0,1,1982-1986
38,Zanda 2011,Zanda,2011,"Zanda, E. (2011) Industria, città romana sacra a Iside. Scavi e ricerche archeologiche 1981-2003. Torino.",1,0,0,1981-2003
39,Battistin 2017,Battistin,2017,"Battistin, N. (2017) 'Anfore di produzione italic', in Fontana, F. (ed.) Aquileia, l'insula tra foro e porto fluviale. Lo scavo dell'Università degli Studi di Trieste. 1. La Strada. Trieste, pp. 385-404.",1,0,1,2005-2007
40,Bonivento & Vecchiet 2017a,Bonivento & Vecchiet,2017,"Bonivento, C. and Vecchiet, C. (2017) 'Anfore di produzione iberica', in Fontana, F. (ed.) Aquileia, l'insula tra foro e porto fluviale. Lo scavo dell'Università degli studi di Trieste. Trieste, pp. 405-10.",1,0,1,2005-2007
41,Bonivento & Vecchiet 2017b,Bonivento & Vecchiet,2017,"Bonivento, C. and Vecchiet, C. (2017) 'Anfore di produzione orientale', in Fontana, F. (ed.) Aquileia, l'insula tra foro e porto fluviale. Lo scavo dell'Università degli studi di Trieste. Trieste, pp. 411-23.",1,0,1,2005-2007
42,Bonivento 2017,Bonivento,2017,"Bonivento, C. (2017) 'Anfore di produzione africana', in Fontana, F. (ed.) Aquileia, l'insula tra foro e porto fluviale. Lo scavo dell'Università degli studi di Trieste. Trieste, pp. 425-44.",1,0,1,2005-2007
43,Acari 1996,Acari,1996,"Acari, L. (1996) 'Un deposito di anfore in via Massarotti a Cremona', in Facchini, G.M., Passi Pitcher, L. and Volonte, M. (eds.) Cremona e Bedriacum in etàromana 1. Vent’anni di tesi universitarie. Milano, pp. 185-203.",1,0,1,1993
44,Cirelli 2014,Cirelli,2014,"Cirelli, E. (2014) 'Typology and diffusion of Amphorae in Ravenna and Classe between the 5th and the 8th centuries AD', in Poulou-Papadimitriou, N., Nodarou, E. and Kilikoglou, V. (eds.) Late Roman Coarse Wares, Cooking Wares and Amphorae in the Mediterranean: Vol. 2616 BAR International Series. Oxford, pp. 541-52.",1,0,0,2001-2005
45,Dobreva & Ravasi 2018,Dobreva & Ravasi,2018,"Dobreva, D. and Ravasi, T. (2018) 'Anfore. Il ruolo di Cremona nei commerci regionali e transregionali tra la fondazione della colonia e il I secolo a.C.', in Arslan, A.E. (ed.) Amoenissimis...aedificiis. Gli scavi di piazza Marconi a Cremona. I materiali. Mantua, pp. 215-40.",1,0,1,2005-2008
46,Cattaneo & Dobreva 2015,Cattaneo & Dobreva,2015,"Cattaneo, P. and Dobreva, D. (2015) 'Lo scavo di via Moneta a Milano (1986-1991).', Protostoria e romanizzazione, Notizie archeologiche bergomensi 23, pp. 309-328.",1,0,1,1986-1991
47,Dobreva 2013,Dobreva,2013,"Dobreva, D. (2013) 'Alcune osservazioni sul commercio e il consumo di derrate a Calvatone-Bedriacum. I dati dei contenitori da trasporto dell'area della Domus del Labirinto (2001-2006)', in Grassi, M.T. (ed.) Calvatone-Bedriacum. I nuovi scavi nell'area della Domus del Labirinto (2001-2006). Mantua, pp. 461-470.",1,0,1,2001-2006
48,Masseroli 1997,Masseroli,1997,"Masseroli, S. (1997) 'Anfore', in Sena Chiesa, G., Masseroli, S., Medici, T. and Volonte, M. (eds.) Calvatone romana. Un pozzo e il suo contesto. Saggio nella zona nord dell'area di proprietà provinciale. Milan, pp. 91-107.",1,0,0,Not_Available
49,Volonte 1996,Volonte,1996,"Volonte, R. (1996) 'Le Anfore', in Passi Pitcher, L. (ed.) Bedriacum: ricerche archeologiche a Calvatone. Milan, pp. 189-208.",1,0,1,Not_Available
50,Bruno 2002,Bruno,2002,"Bruno, B. (2002) 'Importazioni e consumo di derrate nel tempio: l’evidenza delle anfore', in Rossi, F. (ed.) Nuove ricerche sul capitolium di Brescia. Scavi, studi e restauri. Milan, pp. 277-307.",1,0,0,Not_Available
51,Bruno & Bocchio 1999,Bruno & Bocchio,1999,"Bruno, B. and Bocchio, S. (1999) 'Le Anfore da Trasporto', in Brogliolo, G.P. (ed.) Santa Giulia di Brescia: gli scavi dal 1980 al 1992: Reperti preromani, romani e altomedievali Firenze, pp. 231069.",1,0,1,1980-1992
52,Cipriano & Ferrarini 2001,Cipriano & Ferrarini,2001,"Cipriano, S. and Ferrarini, F. (2001) Le anfore romane di Opitergium, Oderzo (Treviso), Cornuda.",1,0,1,1986-1989
53,Iandoli 2006,Iandoli,2006,"Iandoli, M. (2006). Le anfore della domus romana di palazzo Diotallevi a Rimini: alcune riflessioni sui circuiti commerciali. Ariminum: Storia e Archeologia, 2, 103-133. ",1,0,1,1975-1978
54,Bruno 2003,Bruno,2003,"Bruno, B. (2003) Le anfore della cava di UC VII. Considerazioni sulle anfore nei contesti databili tra la tarda età antonina e la prima età severiana, in S. Lusuardi Siena, M.P. Rossignani (eds.) Dall’antichità al Medioevo, aspetti insediativi e manufatti, Atti delle giornate di studio (Milano, 24 gennaio 2000), Milan, pp. 85-97.",1,0,0,1991-1992
55,Corrado 2003,Corrado,2003,"Corrado, M. (2003) Le anfore tardi del 'dark layer' di UC VII (US 1098), in S. Lusuardi Siena, M.P. Rossignani (eds.) Dall’antichità al Medioevo, aspetti insediativi e manufatti, Atti delle giornate di studio (Milano, 24 gennaio 2000), Milan, pp. 101-30.",1,0,0,1991-1992
56,Gabucci & Quiri 2008,Gabucci & Quiri,2008,"Gabucci, A., & Quiri, E. (2008). Eporedia: Appunti su terre sigillate e anfore tra tarda repubblica e età imperiale. Quaderni della Soprintendenza Archeologica del Piemonte, 23, 45-78. ",1,0,0,Not_Available
57,Contessi 2014,Contessi,2014,"Contessi, L. (2014) 'Le Anfore' in F. Rossi (ed) Un luogo per gli dei. L'area del Capitolium a Brescia. Florence, pp. 133-37.",1,0,1,2009-2011
58,Panazza & Brogiolo 1988,Panazza & Brogiolo ,1988,"Panazza, G., & Brogiolo, G.P. (1988) Ricerche su Brescia altomedioevale. Vol. 1: Gli Studi Fino al 1978, Lo Scavo di via Alberto Mario. Brescia",1,0,0,1978
59,Pettirossi & Pistarino 2008,Pettirossi & Pistarino,2008,"Pettirossi, V., & Pistarino, V. (2008). Le Anfore. In A. Bacchetta & M. Venturino Gambari (Eds.), La raccolta archeologica di Augosto Scovazzi (pp. 55-66). Genoa.",1,0,0,Not_Available
60,Quiri & Spagnolo Garzoli 2015,Quiri & Spagnolo Garzoli,2015,"Quiri, E., & Spagnolo Garzoli, G. (2015). Imports of alum from Milos to Novara (Italy). In S. Demesticha (Ed.), Per Terram, Per Mare: Seaborne Trade and the Distribution of Roman Amphorae in the Mediterranean (pp. 181-188). Uppsala.",1,0,0,Not_Available
61,Buchi 1975,Buchi,1975,"Buchi, E. (1975)  Firmalampen e anfore “istriane” del Museo Romano di Brescia, in Atti del Convegno internazionale per il XIX centenario della dedicazione del “Capitolium” e per il 150° anniversario della sua scoperta (Brescia 27-30 settembre 1973), II, Brescia, pp. 217-257. ",0,0,1,Not_Available
62,Giardi 2022,Giardi,2022,"Giardi, C. (2022). Le anfore dallo scavo di Piazza Bellesini a Trento. Nuovi dati per la storia di Tridentum romana. In F. Nicolis & R. Oberosler (Eds.), Archeologia delle Alpi (pp. 51-80). Trento.",1,0,1,1994-1997
