Publication_ID,Publication,Authors,Year_of_Publication,Bibliographic_Reference,Excavation,Survey,Catalogue,Years_of_Activity
25,Negrelli 2018,Negrelli,2018,"Negrelli, C. (2018). Materialli tardoantichi e altomedievali. In C. Guarnieri & G. Montevecchi (Eds.), Il Genio delle Acque. Scavi nelle piazze di Ravenna (pp. 151-69). Ravenna.",1,0,0,2008-2009
26,Mantovani 2015,Mantovani,2015,"Mantovani, V. (2015). Ceramiche fini da mensa di Adria romana: Le indagini di via Retratto (1982 e 1987). Rome",1,0,1,1982-1987
27,Cipriano 2013,Cipriano,2013,"Cipriano, S. (2013). La terra sigillata. In C. Guarnieri (Ed.), Vivere a Forum Livi. Lo scavo di via Curte a Forlì (pp. 189-198). Bologna.",1,0,1,2003-2004
28,Rossi 2013,Rossi,2013,"Rossi, C. (2013). Le necropoli urbane di Padova romane. (PhD). Università degli Studi di Padova",1,0,1,1500-2007
29,Pettenò 2007,Pettenò ,2007,"Pettenò, E. (2007). Vasa Rubra. Marchi di Frabbrica sulla Terra Sigillata da Iulia Concordia. Padua. ",1,0,1,2004-2005
30,Morandini 2008a,Morandini,2008,"Morandini, F. (2008). Le ceramiche fini e le terre sigillate di produzione non africana. In G. Cavalieri Manasse (Ed.), L'area del Capitolium di Verona: ricerche storiche e archeologiche. (pp. 330-342). Verona.",1,0,0,1975-2004
31,Morandini 2008b,Morandini,2008,"Morandini, F. (2008). La Ceramica Importazione Africana. In G. Cavalieri Manasse (Ed.), L'area del Capitolium di Verona: ricerche storiche e archeologiche. (pp. 405-416). Verona.",1,0,0,1975-2004
32,Jorio 1999,Jorio,1999,"Jorio, S. (1999). Le Terra Sigillate di Produzione non Africana. In G. P. Brogliolo (Ed.), Santa Giulia di Brescia: gli scavi dal 1980 al 1992: Reperti preromani, romani e altomedievali (pp. 81-95). Firenze.",1,0,0,1980-1992
33,Massa 1999,Massa,1999,"Massa, S. (1999). La Ceramica d'Importazione Africana. In G. P. Brogliolo (Ed.), Santa Giulia di Brescia: gli scavi dal 1980 al 1992: Reperti preromani, romani e altomedievali (pp. 101-117). Firenze.",1,0,0,1980-1992
34,Jorio 2002,Jorio,2002,"Jorio, S. (2002). Terra sigillata della media e tarda età imperiale di produzione padana. Contributo alla definizione di un repertorio lombardo. In F. Rossi (Ed.), Nuove ricerche sul Capitolium di Brescia: scavi, studi e restauri (pp. 323-352). Milan.",1,0,1,Not_Available
35,Massa 2002,Massa,2002,"Massa, S. (2002). La ceramica d'importazione africana. In F. Rossi (Ed.), Nuove ricerche sul Capitolium di Brescia: scavi, studi e restauri (pp. 371-379). Milan.",1,0,1,Not_Available
36,Mongardi 2017,Mongardi,2014,"Mongardi, M. (2014). L’instrumentum fittile inscriptum della colonia romana di Mutina e del suo territorio. (PhD). Bologna",1,0,1,2009-2010
37,Jorio 1991,Jorio,1991,"Jorio, S. (1991). Terra Sigillata. In D. Caporusso (Ed.), Scavi MM3. Ricerche di archeologia urbana a Milano durante la costruzione della linea 3 (pp. 57-87). Milan.",1,0,1,1982-1990
38,Roffia 1991,Roffia,1991,"Roffia, E. (1991). Ceramica Africana. In D. Caporusso (Ed.), Scavi MM3. Ricerche di archeologia urbana a Milano durante la costruzione della linea 3 (pp. 89-105). Milan.",1,0,1,1982-1990
39,Volonte 1997a,Volonte,1997,"Volonte, M. (1997). Ceramica terra sigillata: i servizi da tavola In F. Filippi (Ed.), Alba Pompeia. Archeologia della città dalla fondazione alla tarda antichità (pp. 432-450). Alba.",1,0,0,1950-1997
40,Ratto 2014,Ratto,2014,"Ratto, S. (2014). Il vasellame ceramico da mensa e da cucina: vita quotidiana e indicatori commerciali. In M. C. Preacco (Ed.), Augusta Bagiennorum. Storia e archeologia di una città augustea (pp. 157-200). Turin.",1,0,1,2004-2006
41,Robino 2008,Robino,2008,"Robino, M. (2008). La ceramica fine da mensa: vernice nera, terra sigillata, pareti sottili. In A. Bacchetta & M. Venturino Gambari (Eds.), Raccolta archeologica di Augusto Scovazzi (pp. 21-34). Genoa.",1,0,1,Not_Available
42,Robino 2017,Robino,2017,"Robino, M. (2017). Le ceramiche fini da mensa, le ceramiche comuni e le lucerne. In A. Bacchetta & M. Venturino Gambari (Eds.), La città ritrovata. Il Foro di Aquae Statiellae e il suo quartiere (pp. 61-106). Acqui Terme.",1,0,1,1975-2000
43,Gabucci 1995,Gabucci,1995,"Gabucci, A. (1995). Marchi di fabbrica da Tortona. Terra sigillata italica, nord-italica e sud-gallica. Quaderni della Soprintendenza Archeologica del Piemonte, 13, 29-58. ",1,0,1,1992-1994
44,Curina 1986,Curina,1986,"Curina, R. (1986). Materiali di Scavo: Strati della fase imperiale. In J. Ortalli, D. Baldoni, & R. Curina (Eds.), Il teatro romano di Bologna (Documenti e studi (Deputazione di storia patria per le province di Romagna); 19) (pp. 159-188). Bologna.",1,0,0,1977
45,Vanetti 1987,Vanetti,1987,"Vanetti, G. (1987). La terra sigillata di regione Maddalene. In Chieri (Ed.), Museo Archeologico di Chieri (pp. 136-156). Chieri.",1,0,0,1953
46,Oberosler 1995,Oberosler,1995,"Oberosler, R. (1995). Trento - Palazzo Tabarelli. Ceramiche in terra sigillata. In E. Cavada (Ed.), Materiali per la storia urbana di Tridentum (pp. 271-357). Trento.",1,0,0,1979-82
47,Volonte 1996,Volonte,1996,"Volonte, M. (1996) 'Le Terre Sigillate', in Passi Pitcher, L. (ed.) Bedriacum: ricerche archeologiche a Calvatone. Milan, pp. 105-118.",1,0,0,Not_Available
48,Volonte 1997b,Volonte,1997,"Volonte, M. (1997). Terre Sigillate. In G. Sena Chiesa (Ed.), Calvatone Romana. Un pozzo e il suo contesto (pp. 79-90). Bologna.",1,0,0,1994-1995
49,Cerri 1991,Cerri,1991,"Cerri, P. (1991). Scavi a Calvatone Romana: Terra sigillata proveniente dall'area della “strada porticata”. In G. M. Facchini (Ed.), Calvatone romana. Studi e ricerche preliminari (pp. 147-166). Milan.",1,0,0,1994-1995
50,Lavizzari Pedrazzini 1973,Lavizzari Pedrazzini,1973,"Lavizzari Pedrazzini, M. P. (1973). Ceramica arretina, T.S. tardo-italica, T.S. gallica, T.S. italica (D). In A. Frova (Ed.), Scavi di Luni I: Relazione preliminare delle campagne di scavo, 1970-1971 (pp. 283-331). Rome.",1,0,1,1970-1971
51,Lavizzari Pedrazzini 1977a,Lavizzari Pedrazzini,1977,"Lavizzari Pedrazzini, M. P. (1977). Terra sigillata italica e sud-gallica (D). In A. Frova (Ed.), Scavi di Luni II: Relazione delle campagne di scavo, 1972-1973-1974 (pp. 118-142). Rome.",1,0,1,1972-1974
52,Lavizzari Pedrazzini 1977b,Lavizzari Pedrazzini,1977,"Lavizzari Pedrazzini, M. P. (1977). Terra sigillata italica e sud-gallica (D). In A. Frova (Ed.), Scavi di Luni II: Relazione delle campagne di scavo, 1972-1973-1974 (pp. 369-373). Rome.",1,0,1,1972-1974
53,Amadori 1996,Amadori,1996,"Amadori, C. (1996). La terra sigillata proveniente dai “vecchi scavi” di Cremona. In G. M. Facchini & L. Passi Pitcher (Eds.), Cremona e Bedriacum in età romana. I. Vent’anni di tesi universitarie (pp. 99-124). Milan.",1,0,0,1985-1991
54,Cattaneo 1996,Cattaneo,1996,"Cattaneo, P. (1996). Ceramica a pareti sottili e terra sigillata dagli scavi di piazza Marconi a Cremona. In G. M. Facchini & L. Passi Pitcher (Eds.), Cremona e Bedriacum in età romana. I. Vent’anni di tesi universitarie (pp. 153-170). Milan.",1,0,0,1985-1991
55,Gabucci & Quiri 2008,Gabucci & Quiri,2008,"Gabucci, A., & Quiri, E. (2008). Eporedia: Appunti su terre sigillate e anfore tra tarda repubblica e età imperiale. Quaderni della Soprintendenza Archeologica del Piemonte, 23, 45-78. ",1,0,1,1965-1987
56,Brecciaroli Taborelli 1987,Brecciaroli Taborelli ,1987,"Brecciaroli Taborelli, L. (1987). Un contributo alla conoscenza dell’impianto urbano di Eporedia (Ivrea): lo scavo di un isolato a Porta Vercelli. Quaderni della Soprintendenza Archeologica del Piemonte, 6, 97-157. ",1,0,1,1982-1986
57,"Fabbri, Gualtieri, & Massa 2004","Fabbri, Gualtieri & Massa",2004,"Fabbri, B., Gualtieri, S., & Massa, S. (2004). Studio delle classi ceramiche: Aspetti archeologici e indagnini archeometriche. In V. Mariotti (Ed.), Il teatro e l'anfiteatro di Cividate Camuno: scavo, restauro, e allestimento di un parco archeologico (pp. 231-254). Florence.",1,0,0,1984-2002
58,Pisano Briani 2005,Pisano Briani,2005,"Pisano Briani, A. (2005). Terra Sigillata. Rivista archeologia dell'antica provincia e diocesi di Como, 187, 9-51. ",1,0,0,2004
59,Massa 2003,Massa,2003,"Massa, M. (2003) Il vasellame fine tardoantico dai livelli di 'dark' del lotto 3 (UC VII, US 1098), in S. Lusuardi Siena, M.P. Rossignani (eds.) Dall’antichità al Medioevo, aspetti insediativi e manufatti, Atti delle giornate di studio (Milano, 24 gennaio 2000), Milan, pp. 85-97.",1,0,0,1991-1992
60,Ganzarolli 2017,Ganzarolli,2017,"Ganzarolli, G. (2017). 	Ceramiche d'importazione fini e da cucina, imitazioni e ceramiche a colature rosse. In A. Chavarría Arnau (Ed.) 	Ricerche sul centro episcopale di Padova. Scavi 2011-2012. Mantua. pp. 209-24.",1,0,0,2011-2012
61,Gabucci 2017,Gabucci,2017,"Gabucci, A. (2017). Attraverso le Alpi e lungo il Po: importazione e distribuzione di sigillate galliche nella Cisalpina (Vol. 532): École française de Rome.",0,0,1,Not_Available
